name,social_security_number,gender,height,age,blood_type,company,grades,salary,expenditure,car_type
hkd1,990623-2,F,161.9,22,A,A,A,4100,1975,
hkd10,900303-2,F,169.4,31,A,A,B,4720,2970,gasoline
hkd100,681205-2,F,168.3,55,A,A,B,7280,5905,gasoline
hkd101,931226-2,F,155.3,28,AB,B,B,4060,2935,
hkd102,920123-1,M,188.6,29,O,B,F,4390,4015,electronic
hkd103,910215-2,F,150.2,30,A,B,A,3290,1915,gasoline
hkd104,990623-1,M,176.0,22,A,B,A,3750,2375,
hkd105,980717-2,F,163.4,23,B,B,B,3080,1330,
hkd106,970818-1,M,186.3,24,AB,B,C,3110,2360,
hkd107,960909-1,M,181.8,25,O,B,B,3230,1480,gasoline
hkd108,951015-1,M,170.1,26,A,B,B,3410,1660,gasoline
hkd109,941105-1,M,177.8,27,O,B,B,3420,1670,
hkd11,890419-1,M,188.2,32,B,A,B,4820,3070,gasoline
hkd110,931225-2,F,163.2,28,A,B,B,3460,1710,gasoline
hkd111,920122-2,F,156.5,29,O,B,C,4370,3620,
hkd112,910113-2,F,166.2,30,B,B,D,3260,2510,gasoline
hkd113,900303-2,F,161.9,31,A,B,D,3540,2790,gasoline
hkd114,890419-2,F,157.5,32,B,B,A,4040,2665,gasoline
hkd115,880909-2,F,158.6,33,AB,B,B,5230,3480,electronic
hkd116,870118-1,M,173.9,34,O,B,D,4590,3840,diesel
hkd117,860117-2,F,163.0,35,A,B,A,4730,3355,gasoline
hkd118,851214-2,F,164.9,36,O,B,A,4950,3575,diesel
hkd119,840717-2,F,153.7,37,A,B,A,4450,3075,diesel
hkd12,881109-2,F,170.2,33,AB,A,A,5080,2955,
hkd120,830831-1,M,183.8,38,O,B,A,5660,4285,diesel
hkd121,820904-2,F,153.3,39,B,B,B,6060,4310,diesel
hkd122,811023-1,M,171.9,40,A,B,A,6130,4755,diesel
hkd123,800329-1,M,184.6,41,B,B,B,6050,4300,diesel
hkd124,791214-1,M,181.1,42,AB,B,A,6250,4875,gasoline
hkd125,780112-2,F,169.1,43,O,B,A,5710,4335,gasoline
hkd126,770201-1,M,190.4,44,A,B,A,6210,4835,gasoline
hkd127,760325-2,F,163.1,45,O,B,B,6920,5170,diesel
hkd128,750430-2,F,148.1,46,A,B,B,7000,5250,diesel
hkd129,740530-1,M,184.4,47,O,B,B,7420,6295,gasoline
hkd13,870718-1,M,180.5,34,O,A,A,4990,2865,gasoline
hkd130,730726-1,M,175.2,48,B,B,B,7000,5875,diesel
hkd131,720611-2,F,156.6,49,A,B,A,7250,5875,diesel
hkd132,730706-1,M,181.5,50,B,B,B,7420,6295,gasoline
hkd133,720801-2,F,149.5,51,AB,B,B,7460,6335,gasoline
hkd134,710925-1,M,182.2,52,O,B,C,7250,6500,gasoline
hkd135,701020-1,M,190.6,53,A,B,D,7430,6680,diesel
hkd136,690111-2,F,164.7,54,O,B,C,6440,5315,diesel
hkd137,681231-1,M,182.9,55,A,B,B,8460,7335,electronic
hkd138,910213-2,F,168.8,30,O,B,A,4060,2685,gasoline
hkd139,900330-1,M,172.0,31,B,B,C,3530,2405,electronic
hkd14,860617-1,M,176.8,35,A,A,A,5070,2945,gasoline
hkd140,890419-1,M,186.4,32,A,B,A,3680,2305,gasoline
hkd141,880509-1,M,180.9,33,B,B,C,3860,2735,gasoline
hkd142,870618-1,M,181.3,34,AB,B,A,4580,3205,diesel
hkd143,860630-1,M,181.6,35,O,B,A,4000,2625,gasoline
hkd144,850914-2,F,163.5,36,A,B,A,4920,3545,diesel
hkd145,841217-2,F,152.9,37,O,B,B,4450,3325,diesel
hkd146,830908-2,F,161.6,38,A,B,B,5110,3985,diesel
hkd147,821204-2,F,165.2,39,O,B,A,5390,4015,electronic
hkd148,811021-2,F,160.0,40,B,B,A,5440,4065,gasoline
hkd149,801116-1,M,173.3,41,A,B,C,5920,4795,diesel
hkd15,850215-2,F,151.2,36,O,A,B,5550,3800,diesel
hkd150,791219-1,M,182.7,42,B,B,A,6420,5045,diesel
hkd151,781212-1,M,175.8,43,AB,B,A,6130,4755,gasoline
hkd152,770202-1,M,176.8,44,O,B,A,6320,4945,gasoline
hkd153,760301-2,F,149.2,45,A,B,A,5840,4465,gasoline
hkd154,750920-1,M,185.7,46,O,B,F,6310,5810,diesel
hkd155,740515-1,M,171.0,47,A,B,C,7330,6205,diesel
hkd156,730116-2,F,153.2,48,O,B,B,6440,5315,gasoline
hkd157,721211-2,F,162.3,49,B,B,B,6200,5075,diesel
hkd158,910213-1,M,186.7,30,A,B,B,3980,2855,gasoline
hkd159,900303-1,M,170.1,31,B,B,B,3330,2205,diesel
hkd16,840717-1,M,187.2,37,A,A,B,5440,3690,diesel
hkd160,890419-1,M,166.1,32,AB,B,B,3600,2475,gasoline
hkd161,880509-2,F,150.9,33,O,B,A,3820,2445,gasoline
hkd162,870618-2,F,164.4,34,A,B,F,4770,4270,gasoline
hkd163,860117-1,M,166.2,35,O,B,C,4960,3835,electronic
hkd164,850115-1,M,185.6,36,A,B,B,4850,3725,diesel
hkd165,841017-1,M,180.1,37,O,B,B,4390,3265,diesel
hkd166,830708-2,F,162.6,38,B,B,B,5010,3885,diesel
hkd167,820904-1,M,166.7,39,A,B,B,5480,4355,diesel
hkd168,811021-1,M,187.1,40,B,B,C,6010,4885,gasoline
hkd169,801116-2,F,155.4,41,AB,B,B,5830,4705,gasoline
hkd17,830108-2,F,154.0,38,O,A,C,4720,3970,gasoline
hkd170,791218-1,M,181.4,42,O,B,B,6300,5175,diesel
hkd171,780112-1,M,168.7,43,A,B,B,6110,4985,diesel
hkd172,770203-1,M,170.3,44,O,B,B,6730,5355,gasoline
hkd173,760325-1,M,177.0,45,A,B,B,6660,5285,gasoline
hkd174,750420-1,M,166.5,46,O,B,D,7250,6500,gasoline
hkd175,740515-2,F,151.3,47,B,B,B,6750,5375,gasoline
hkd176,730716-2,F,163.5,48,A,B,B,5420,4045,gasoline
hkd177,721212-2,F,149.2,49,B,B,A,6170,4795,gasoline
hkd178,860917-1,M,179.3,35,AB,B,A,4800,3425,diesel
hkd179,850114-1,M,166.8,36,O,B,B,5160,3785,diesel
