name,social_security_number,gender,height,age,blood_type,company,grades,salary,expenditure,car_type
hkd1,990623-2,F,161.9,,,A,A,,1975,
hkd10,900303-2,F,169.4,31.0,A,A,B,4720.0,2970,gasoline
hkd100,681205-2,F,168.3,55.0,A,A,B,7280.0,5905,gasoline
hkd101,931226-2,F,155.3,,,B,B,,2935,
hkd102,920123-1,M,188.6,,,B,F,,4015,electronic
hkd103,910215-2,F,150.2,30.0,A,B,A,3290.0,1915,gasoline
hkd104,990623-1,M,176.0,,,B,A,,2375,
hkd105,980717-2,F,163.4,23.0,B,B,B,3080.0,1330,
hkd106,970818-1,M,186.3,24.0,AB,B,C,3110.0,2360,
hkd107,960909-1,M,181.8,25.0,O,B,B,3230.0,1480,gasoline
hkd108,951015-1,M,170.1,26.0,A,B,B,3410.0,1660,gasoline
hkd109,941105-1,M,177.8,27.0,O,B,B,3420.0,1670,
hkd11,890419-1,M,188.2,32.0,B,A,B,4820.0,3070,gasoline
hkd110,931225-2,F,163.2,28.0,A,B,B,3460.0,1710,gasoline
hkd111,920122-2,F,156.5,29.0,O,B,C,4370.0,3620,
hkd112,910113-2,F,166.2,30.0,B,B,D,3260.0,2510,gasoline
hkd113,900303-2,F,161.9,31.0,A,B,D,3540.0,2790,gasoline
hkd114,890419-2,F,157.5,32.0,B,B,A,4040.0,2665,gasoline
hkd115,880909-2,F,158.6,33.0,AB,B,B,5230.0,3480,electronic
hkd116,870118-1,M,173.9,34.0,O,B,D,4590.0,3840,diesel
hkd117,860117-2,F,163.0,,,B,A,,3355,gasoline
hkd118,851214-2,F,164.9,36.0,O,B,A,4950.0,3575,diesel
hkd119,840717-2,F,153.7,37.0,A,B,A,4450.0,3075,diesel
hkd12,881109-2,F,170.2,33.0,AB,A,A,5080.0,2955,
hkd120,830831-1,M,183.8,38.0,O,B,A,5660.0,4285,diesel
hkd121,820904-2,F,153.3,39.0,B,B,B,6060.0,4310,diesel
hkd122,811023-1,M,171.9,40.0,A,B,A,6130.0,4755,diesel
hkd123,800329-1,M,184.6,41.0,B,B,B,6050.0,4300,diesel
hkd124,791214-1,M,181.1,42.0,AB,B,A,6250.0,4875,gasoline
hkd125,780112-2,F,169.1,,,B,A,,4335,gasoline
hkd126,770201-1,M,190.4,44.0,A,B,A,6210.0,4835,gasoline
hkd127,760325-2,F,163.1,45.0,O,B,B,6920.0,5170,diesel
hkd128,750430-2,F,148.1,46.0,A,B,B,7000.0,5250,diesel
hkd129,740530-1,M,184.4,47.0,O,B,B,7420.0,6295,gasoline
hkd13,870718-1,M,180.5,34.0,O,A,A,4990.0,2865,gasoline
hkd130,730726-1,M,175.2,48.0,B,B,B,7000.0,5875,diesel
hkd131,720611-2,F,156.6,49.0,A,B,A,7250.0,5875,diesel
hkd132,730706-1,M,181.5,50.0,B,B,B,7420.0,6295,gasoline
hkd133,720801-2,F,149.5,51.0,AB,B,B,7460.0,6335,gasoline
hkd134,710925-1,M,182.2,52.0,O,B,C,7250.0,6500,gasoline
hkd135,701020-1,M,190.6,53.0,A,B,D,7430.0,6680,diesel
hkd136,690111-2,F,164.7,54.0,O,B,C,6440.0,5315,diesel
hkd137,681231-1,M,182.9,55.0,A,B,B,8460.0,7335,electronic
hkd138,910213-2,F,168.8,30.0,O,B,A,4060.0,2685,gasoline
hkd139,900330-1,M,172.0,31.0,B,B,C,3530.0,2405,electronic
hkd14,860617-1,M,176.8,35.0,A,A,A,5070.0,2945,gasoline
